ad_id,first_seen_date,snapshot_date,before,after
1856982088684753,20260302,20260403,(재)_수원_진료셀프캠_명절음식 급찐살 칼로리 문제가 아닙니다_260211_off,(재)_수원_진료셀프캠_명절음식 급찐살 칼로리 문제가 아닙니다_260211
1856982238544002,20260302,20260403,(재)_일산_진료셀프캠_명절음식 급찐살 칼로리 문제가 아닙니다_260211_off,(재)_일산_진료셀프캠_명절음식 급찐살 칼로리 문제가 아닙니다_260211
1856982344257569,20260302,20260403,(재)_천안_진료셀프캠_명절음식 급찐살 칼로리 문제가 아닙니다_260211_off,(재)_천안_진료셀프캠_명절음식 급찐살 칼로리 문제가 아닙니다_260211
1856982408909874,20260302,20260403,(신)_천안_의료진정보_주사형비만치료제맞고 한의원찾아오신_260211_off,(신)_천안_의료진정보_주사형비만치료제맞고 한의원찾아오신_260211
1857623149298785,20260302,20260317,(재)_천안_인플방문후기_체지방만쏙빼는(부산잇츠)_260220,(재)_천안_인플방문후기_체지방만쏙빼는(부산잇츠)_260220_off
1857623149298785,20260302,20260403,(재)_천안_인플방문후기_체지방만쏙빼는(부산잇츠)_260220_off,(재)_천안_인플방문후기_체지방만쏙빼는(부산잇츠)_260220
1857623334895634,20260302,20260317,(재)_창원_인플방문후기_체지방만쏙빼는(부산잇츠)_260220,(재)_창원_인플방문후기_체지방만쏙빼는(부산잇츠)_260220_off
1857623334895634,20260302,20260403,(재)_창원_인플방문후기_체지방만쏙빼는(부산잇츠)_260220_off,(재)_창원_인플방문후기_체지방만쏙빼는(부산잇츠)_260220
1857623431467058,20260302,20260317,(재)_부평_인플방문후기_체지방만쏙빼는(부산잇츠)_260220,(재)_부평_인플방문후기_체지방만쏙빼는(부산잇츠)_260220_off
1857623431467058,20260302,20260403,(재)_부평_인플방문후기_체지방만쏙빼는(부산잇츠)_260220_off,(재)_부평_인플방문후기_체지방만쏙빼는(부산잇츠)_260220
1857623524110338,20260302,20260317,(재)_수원_인플방문후기_체지방만쏙빼는(부산잇츠)_260220,(재)_수원_인플방문후기_체지방만쏙빼는(부산잇츠)_260220_off
