캠페인 이름,광고 이름,광고 ID,일별,나이,비용,노출수,클릭수(목적지),CTR(목적지),전환수,전환당 비용,전환율(CVR),랜딩 페이지 조회(웹사이트),도달,통화
2604_다이트_전환캠페인,(신)_대전_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796462367905,2026-04-08,NONE,2,2,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,(신)_대전_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,1861781961742465,2026-04-08,AGE_35_44,620,87,0,0.0,0,0,0.0,0,85,KRW
2604_다이트_전환캠페인,(신)_대전_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,1861781961742465,2026-04-08,AGE_45_54,1121,142,1,0.7,0,0,0.0,0,126,KRW
2604_다이트_전환캠페인,(신)_대전_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,1861781961742465,2026-04-08,AGE_55_100,779,153,0,0.0,0,0,0.0,0,137,KRW
2604_다이트_전환캠페인,(신)_대전_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,1861781961742465,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,(신)_부평_의료진정보_주사형비만치료제 10년은_260116,1861276817166401,2026-04-08,AGE_35_44,1112,119,0,0.0,0,0,0.0,0,114,KRW
2604_다이트_전환캠페인,(신)_부평_의료진정보_주사형비만치료제 10년은_260116,1861276817166401,2026-04-08,AGE_45_54,2861,206,1,0.49,0,0,0.0,0,191,KRW
2604_다이트_전환캠페인,(신)_부평_의료진정보_주사형비만치료제 10년은_260116,1861276817166401,2026-04-08,AGE_55_100,2595,252,2,0.79,0,0,0.0,0,233,KRW
2603_다이트_전환캠페인,(신)_부평_의료진정보_주사형비만치료제 10년은_260116,1860716092390562,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2603_다이트_전환캠페인,(신)_부평_인플방문후기_50대엄마 혈당다이어트(햅삐)_260317,1859896796626130,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,(신)_부평_인플방문후기_건강한다이어트(박고경)_260324,1861276881397074,2026-04-08,AGE_35_44,5615,455,2,0.44,0,0,0.0,0,437,KRW
2604_다이트_전환캠페인,(신)_부평_인플방문후기_건강한다이어트(박고경)_260324,1861276881397074,2026-04-08,AGE_45_54,6768,421,2,0.48,1,6768,50.0,0,401,KRW
2604_다이트_전환캠페인,(신)_부평_인플방문후기_건강한다이어트(박고경)_260324,1861276881397074,2026-04-08,AGE_55_100,3495,246,3,1.22,0,0,0.0,0,237,KRW
2604_다이트_전환캠페인,(신)_부평_인플방문후기_건강한다이어트(박고경)_260324,1861276881397074,2026-04-08,NONE,36,2,0,0.0,0,0,0.0,0,0,KRW
2603_다이트_전환캠페인,(신)_부평_인플방문후기_건강한다이어트(박고경)_260324,1860541278478465,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2603_다이트_전환캠페인,(신)_부평_인플방문후기_더먹어야 다이어트 가능(더먹어유)_260313,1859538135129201,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,(신)_부평_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861795578227042,2026-04-08,AGE_35_44,14052,902,2,0.22,3,4684,150.0,0,772,KRW
2604_다이트_전환캠페인,(신)_부평_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861795578227042,2026-04-08,AGE_45_54,17133,1067,6,0.56,0,0,0.0,0,872,KRW
2604_다이트_전환캠페인,(신)_부평_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861795578227042,2026-04-08,AGE_55_100,8504,486,7,1.44,2,4252,28.57,0,415,KRW
2604_다이트_전환캠페인,(신)_부평_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861795578227042,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2603_다이트_전환캠페인,(신)_부평_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,1858358889552897,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2603_다이트_전환캠페인,(신)_서울_인플방문후기_건강한다이어트(박고경)_260324,1860545998449873,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,(신)_서울_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861792943047986,2026-04-08,AGE_35_44,5780,625,4,0.64,0,0,0.0,0,564,KRW
2604_다이트_전환캠페인,(신)_서울_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861792943047986,2026-04-08,AGE_45_54,8297,841,5,0.59,0,0,0.0,0,772,KRW
2604_다이트_전환캠페인,(신)_서울_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861792943047986,2026-04-08,AGE_55_100,6965,636,5,0.79,0,0,0.0,0,599,KRW
2604_다이트_전환캠페인,(신)_서울_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861792943047986,2026-04-08,NONE,12,1,0,0.0,0,0,0.0,0,0,KRW
2603_다이트_전환캠페인,(신)_서울_진료셀프캠_주사형 비만치료제보다 더중요한이것_26120,1858361825289345,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2603_다이트_전환캠페인,(신)_수원_의료진정보_주사형비만치료제 10년은_260116,1861074626769138,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2603_다이트_전환캠페인,(신)_수원_인플방문후기_더먹어야 다이어트 가능(더먹어유)_260313,1859538405086241,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2603_다이트_전환캠페인,(신)_수원_인플방문후기_먹을거 다먹으면서(미미)_260317,1859897183294593,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,(신)_수원_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796026692689,2026-04-08,AGE_25_34,5591,681,4,0.59,0,0,0.0,0,593,KRW
2604_다이트_전환캠페인,(신)_수원_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796026692689,2026-04-08,AGE_35_44,14424,1257,5,0.4,1,14424,20.0,0,1031,KRW
2604_다이트_전환캠페인,(신)_수원_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796026692689,2026-04-08,AGE_45_54,19737,1464,4,0.27,0,0,0.0,0,1204,KRW
2604_다이트_전환캠페인,(신)_수원_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796026692689,2026-04-08,AGE_55_100,12992,1096,5,0.46,0,0,0.0,0,885,KRW
2604_다이트_전환캠페인,(신)_수원_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796026692689,2026-04-08,NONE,3,2,0,0.0,2,1,0.0,0,0,KRW
2604_다이트_전환캠페인,(신)_수원_인플방문후기_주사형비만치료제(the.hyunniverse)_260403,1861426333950193,2026-04-08,AGE_25_34,4364,504,2,0.4,2,2182,100.0,0,475,KRW
2604_다이트_전환캠페인,(신)_수원_인플방문후기_주사형비만치료제(the.hyunniverse)_260403,1861426333950193,2026-04-08,AGE_35_44,12201,938,6,0.64,0,0,0.0,0,864,KRW
2604_다이트_전환캠페인,(신)_수원_인플방문후기_주사형비만치료제(the.hyunniverse)_260403,1861426333950193,2026-04-08,AGE_45_54,17199,1004,7,0.7,3,5733,42.86,0,896,KRW
2604_다이트_전환캠페인,(신)_수원_인플방문후기_주사형비만치료제(the.hyunniverse)_260403,1861426333950193,2026-04-08,AGE_55_100,6313,502,3,0.6,0,0,0.0,0,450,KRW
2604_다이트_전환캠페인,(신)_수원_인플방문후기_주사형비만치료제(the.hyunniverse)_260403,1861426333950193,2026-04-08,NONE,32,1,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,(신)_일산_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796100333057,2026-04-08,AGE_35_44,5803,714,1,0.14,0,0,0.0,0,655,KRW
2604_다이트_전환캠페인,(신)_일산_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796100333057,2026-04-08,AGE_45_54,9493,824,9,1.09,0,0,0.0,0,776,KRW
2604_다이트_전환캠페인,(신)_일산_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796100333057,2026-04-08,AGE_55_100,7962,605,7,1.16,0,0,0.0,0,580,KRW
2604_다이트_전환캠페인,(신)_일산_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796100333057,2026-04-08,NONE,4,3,0,0.0,0,0,0.0,0,0,KRW
2603_다이트_전환캠페인,(신)_창원_인플방문후기_더먹어야 다이어트 가능(더먹어유)_260313,1859538526785570,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,(신)_창원_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796302859538,2026-04-08,AGE_35_44,7851,576,4,0.69,0,0,0.0,0,479,KRW
2604_다이트_전환캠페인,(신)_창원_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796302859538,2026-04-08,AGE_45_54,12196,836,7,0.84,0,0,0.0,0,707,KRW
2604_다이트_전환캠페인,(신)_창원_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796302859538,2026-04-08,AGE_55_100,8117,586,8,1.37,0,0,0.0,0,475,KRW
2604_다이트_전환캠페인,(신)_창원_인플방문후기_밥빵면안당기는원장님(itsmeyuriwon)_260407,1861796302859538,2026-04-08,NONE,6,2,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,(신)_창원_인플방문후기_주사형비만치료제(the.hyunniverse)_260403,1861427124084770,2026-04-08,AGE_35_44,7298,616,2,0.32,0,0,0.0,0,554,KRW
2604_다이트_전환캠페인,(신)_창원_인플방문후기_주사형비만치료제(the.hyunniverse)_260403,1861427124084770,2026-04-08,AGE_45_54,13700,879,5,0.57,0,0,0.0,0,784,KRW
2604_다이트_전환캠페인,(신)_창원_인플방문후기_주사형비만치료제(the.hyunniverse)_260403,1861427124084770,2026-04-08,AGE_55_100,6224,392,3,0.77,0,0,0.0,0,330,KRW
2604_다이트_전환캠페인,(신)_창원_인플방문후기_주사형비만치료제(the.hyunniverse)_260403,1861427124084770,2026-04-08,NONE,0,0,0,0.0,1,0,0.0,0,0,KRW
