캠페인 이름,광고 이름,광고 ID,일별,비용,노출수,CPM,클릭수(목적지),CPC(목적지),CTR(목적지),전환수,전환당 비용,전환율(CVR),빈도,동영상 조회수,통화,랜딩 페이지 조회(웹사이트),도달,2초 시청,6초 시청,25% 시청 완료,50% 시청 완료,75% 시청 완료,100% 시청 완료,평균 재생 시간,좋아요,댓글,공유,팔로우,프로필 방문,15초 시청
2602_다이트_전환캠페인,(신)_수원_의료진정보_주사형비만치료제 10년은_260116,1856011253736641,2026-02-04,23548,2283,10314,8,2943,0.35,1,23548,12.5,1.06,2250,KRW,4,2150,542,274,227,136,92,59,3.31,2,0,1,0,4,147
2602_다이트_전환캠페인,(신)_수원_진료셀프캠_다이어트 빼는 게 아니라 찾는 것_260123,1856011253734433,2026-02-04,4043,515,7850,1,4043,0.19,0,0,0.0,1.07,500,KRW,0,482,67,17,13,10,4,3,1.64,1,0,0,0,0,10
2602_다이트_전환캠페인,(신)_수원_진료셀프캠_다이어트가 끝난 오늘 꼭 해주고 싶은_260123,1856011253734417,2026-02-04,2868,966,2968,6,478,0.62,0,0,0.0,1.03,957,KRW,0,939,167,43,38,22,13,8,2.01,0,0,0,1,0,22
2602_다이트_전환캠페인,(신)_수원_진료셀프캠_살빼라고했지 적게 먹으라곤_260120,1856011253734449,2026-02-04,996,137,7270,0,0,0.0,0,0,0.0,1.05,136,KRW,0,131,25,10,12,6,2,1,1.82,0,0,0,0,0,3
2602_다이트_전환캠페인,(신)_수원_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,1856011253736657,2026-02-04,93139,8324,11189,54,1724,0.65,2,46569,3.7,1.19,8194,KRW,39,7001,2922,1073,950,648,474,245,4.64,20,0,2,2,22,692
2602_다이트_전환캠페인,"(신)_일산_의료진정보_다이어트의 적!밥,빵,면_251208",1856011598448690,2026-02-04,14181,767,18488,9,1575,1.17,2,7090,22.22,1.03,751,KRW,8,742,255,85,74,39,27,19,3.47,1,0,0,0,1,44
2602_다이트_전환캠페인,(신)_일산_의료진정보_주사형비만치료제 10년은_260116,1856011598449698,2026-02-04,5878,439,13389,4,1469,0.91,1,5878,25.0,1.03,429,KRW,3,428,121,61,50,28,19,10,4.13,1,1,0,0,0,34
2602_다이트_전환캠페인,(신)_일산_진료셀프캠_다이어트 빼는 게 아니라 찾는 것_260123,1856011598449666,2026-02-04,327,53,6169,0,0,0.0,0,0,0.0,1.02,47,KRW,0,52,10,6,6,5,4,3,3.9,0,0,0,0,0,5
2602_다이트_전환캠페인,(신)_일산_진료셀프캠_살빼라고했지 적게 먹으라곤_260120,1856011598449682,2026-02-04,86,15,5733,0,0,0.0,0,0,0.0,1.0,15,KRW,0,15,2,1,1,1,1,1,2.33,0,0,0,0,0,1
2602_다이트_전환캠페인,(신)_일산_진료셀프캠_주사형 비만치료제보다 더중요한이것_260120,1856011598449714,2026-02-04,17659,1117,15809,11,1605,0.98,0,0,0.0,1.06,1080,KRW,10,1053,363,169,154,97,74,36,4.71,4,0,2,0,3,106
2602_다이트_전환캠페인,(신)_창원_의료진정보_주사형비만치료제 10년은_260116,1856009703976129,2026-02-04,17251,1957,8815,8,2156,0.41,0,0,0.0,1.07,1935,KRW,4,1821,394,172,142,75,61,31,6.57,6,0,0,0,2,89
2602_다이트_전환캠페인,"(신)_창원_진료셀프캠_50대 여성, 뱃살부터 늘어나는 이유_251106",1856009313310977,2026-02-04,9718,1388,7001,7,1388,0.5,0,0,0.0,1.05,1367,KRW,5,1323,266,76,92,47,37,27,2.14,1,0,0,0,2,41
